Grammar,Kanji,終,% Done,# Done,Explanation,Example (JP),Translation (EN),Column 1
40,,,75.00%,30,,,,
つもりです,積もり,TRUE,,,Expresses intention,日本に行くつもりです。,I intend to go to Japan.,
～んです,,FALSE,,,Explains reason/emphasis,雨が降っているんです。,It's because it's raining.,
ので,,FALSE,,,Because (polite),疲れたので、早く寝ます。,"Because I’m tired, I’ll sleep early.",
は,,TRUE,,,Topic marker,これはペンです。,"As for this, it's a pen.",
～ましょう,,TRUE,,,Let’s do (suggestion),映画を見ましょう。,Let's watch a movie.,FALSE
～のがじょうずです,上手,TRUE,,,Good at doing,彼は歌うのがじょうずです。,He is good at singing.,
～まえに,前,TRUE,,,Before doing,寝るまえに歯をみがきます。,I brush my teeth before sleeping.,
～のほうが～より,方・より,TRUE,,,Comparative preference,犬のほうが猫より好きです。,I like dogs more than cats.,
～にいく,行く,TRUE,,,Go to do something,本を買いに行く。,I go to buy a book.,
～がいます,居ます,TRUE,,,There is (animate),猫がいます。,There is a cat.,
～く/ ～になる,,TRUE,,,Become (adjective),寒くなりました。,It became cold.,
～のがへたです,下手,TRUE,,,Bad at doing,彼は料理するのがへたです。,He is bad at cooking.,
～てください,下さい,TRUE,,,Please do,ドアを開けてください。,Please open the door.,
～たり …～たりする,,FALSE,,,Do things like ~ and ~,映画を見たり、本を読んだりする。,I do things like watch movies and read books.,
～てもいいです,,FALSE,,,You may do,ここに座ってもいいですか。,May I sit here?,
～があります,有ります,TRUE,,,There is (inanimate),山があります。,There is a mountain.,
です,,TRUE,,,Polite copula,学生です。,I am a student.,
～なくちゃいけない,無くてはいけない,FALSE,,,Must do,勉強しなくちゃいけない。,I must study.,
～のがすきです,好き,TRUE,,,Like doing,泳ぐのがすきです。,I like swimming.,
～ている,,TRUE,,,Ongoing state,雨が降っている。,It is raining.,
や,,TRUE,,,Listing (non-exhaustive),りんごやバナナを食べます。,I eat apples and bananas (among other things).,
を,,TRUE,,,Object marker,パンを食べます。,I eat bread.,
～てはいけません,,FALSE,,,Must not do,ここでタバコを吸ってはいけません。,You must not smoke here.,
stem +たいです,,TRUE,,,Want to do,日本に行きたいです。,I want to go to Japan.,
ないでください,,TRUE,,,Please don’t do,ここで寝ないでください。,Please don’t sleep here.,
でしょう,,FALSE,,,Probably,明日は雨でしょう。,It will probably rain tomorrow.,
～ませんか,,TRUE,,,Invitation (won’t you?),一緒に行きませんか。,Won’t you go with me?,
まだ～ていません,,FALSE,,,Have not yet done,まだ宿題をしていません。,I haven’t done my homework yet.,
で,,TRUE,,,Means or location marker,電車で行きます。,I go by train.,
～から,,TRUE,,,Because; from,雨だから行きません。,I won’t go because it’s raining.,
も,,TRUE,,,Also; even,私も行きます。,I’ll go too.,
と,,TRUE,,,And/with,友達と話します。,I talk with my friend.,
～すぎる,過ぎる,FALSE,,,Too much,食べすぎました。,I ate too much.,
～ほうがいい,方,TRUE,,,Had better,薬を飲んだほうがいい。,You’d better take medicine.,
に,,TRUE,,,Direction/time/target marker,日本に行きます。,I’m going to Japan.,
～のなかで～がいちばん～,中・一番,TRUE,,,Best among,この中で彼がいちばん強い。,He is the strongest among them.,
～ましょうか,,TRUE,,,Shall I/we?,手伝いましょうか。,Shall I help?,
～てから,,FALSE,,,After doing,食べてから寝ます。,I sleep after eating.,
～たことがある,事,TRUE,,,Have done before,日本に行ったことがある。,I have been to Japan.,
に/へ,,TRUE,,,Direction particle,学校に行く。,I go to school.,
